-7.80456 -0.181822 -0.03347
-7.71176 -0.181312 -0.03583
-7.61895 -0.180771 -0.03818
-7.52615 -0.180200 -0.04052
-7.43335 -0.179597 -0.04286
-7.34055 -0.178964 -0.04518
-7.24775 -0.178301 -0.04750
-7.15495 -0.177607 -0.04980
-7.06214 -0.176883 -0.05210
-6.96934 -0.176129 -0.05438
-6.87654 -0.175345 -0.05666
-6.78374 -0.174531 -0.05892
-6.69094 -0.173688 -0.06117
-6.59814 -0.172815 -0.06341
-6.50533 -0.171912 -0.06564
-6.41253 -0.170980 -0.06785
-6.31973 -0.170020 -0.07005
-6.22693 -0.169030 -0.07224
-6.13413 -0.168012 -0.07441
-6.04133 -0.166966 -0.07657
-5.94852 -0.165891 -0.07871
-5.85572 -0.164788 -0.08084
-5.76292 -0.163658 -0.08295
-5.67012 -0.162499 -0.08504
-5.57732 -0.161313 -0.08712
-5.48452 -0.160100 -0.08919
-5.39171 -0.158860 -0.09123
-5.29891 -0.157594 -0.09326
-5.20611 -0.156300 -0.09527
-5.11331 -0.154981 -0.09727
-5.02051 -0.153635 -0.09924
-4.92771 -0.152263 -0.10120
-4.83490 -0.150866 -0.10313
-4.74210 -0.149444 -0.10505
-4.64930 -0.147996 -0.10695
-4.55650 -0.146524 -0.10882
-4.46370 -0.145027 -0.11068
-4.37090 -0.143506 -0.11252
-4.27809 -0.141961 -0.11433
-4.18529 -0.140393 -0.11613
-4.09249 -0.138800 -0.11790
-3.99969 -0.137185 -0.11965
-3.90689 -0.135547 -0.12138
-3.81409 -0.133886 -0.12308
-3.72129 -0.132204 -0.12476
-3.62848 -0.130499 -0.12642
-3.53568 -0.128773 -0.12806
-3.44288 -0.127025 -0.12967
-3.35008 -0.125256 -0.13126
-3.25728 -0.123467 -0.13282
-3.16448 -0.121657 -0.13436
-3.07167 -0.119828 -0.13588
-2.97887 -0.117978 -0.13737
-2.88607 -0.116109 -0.13883
-2.79327 -0.114222 -0.14027
-2.70047 -0.112315 -0.14168
-2.60767 -0.110391 -0.14307
-2.51486 -0.108448 -0.14443
-2.42206 -0.106488 -0.14576
-2.32926 -0.104510 -0.14707
-2.23646 -0.102515 -0.14835
-2.14366 -0.100504 -0.14960
-2.05086 -0.098477 -0.15083
-1.95805 -0.096434 -0.15203
-1.86525 -0.094376 -0.15320
-1.77245 -0.092302 -0.15434
-1.67965 -0.090214 -0.15545
-1.58685 -0.088111 -0.15654
-1.49405 -0.085994 -0.15759
-1.40124 -0.083864 -0.15862
-1.30844 -0.081721 -0.15962
-1.21564 -0.079564 -0.16059
-1.12284 -0.077396 -0.16153
-1.03004 -0.075215 -0.16244
-0.93724 -0.073023 -0.16332
-0.84443 -0.070819 -0.16418
-0.75163 -0.068605 -0.16500
-0.65883 -0.066380 -0.16579
-0.56603 -0.064146 -0.16655
-0.47323 -0.061901 -0.16728
-0.38043 -0.059647 -0.16798
-0.28762 -0.057385 -0.16865
-0.19482 -0.055114 -0.16929
-0.10202 -0.052835 -0.16990
-0.00922 -0.050549 -0.17048
0.08358 -0.048255 -0.17103
0.17638 -0.045955 -0.17155
0.26919 -0.043648 -0.17203
0.36199 -0.041335 -0.17249
0.45479 -0.039017 -0.17291
0.54759 -0.036693 -0.17330
0.64039 -0.034365 -0.17366
0.73319 -0.032033 -0.17399
0.82600 -0.029697 -0.17429
0.91880 -0.027357 -0.17455
1.01160 -0.025015 -0.17479
1.10440 -0.022669 -0.17499
1.19720 -0.020322 -0.17516
1.29000 -0.017973 -0.17530
